Water Saturation Properties  - Pressure Table,,,,,,,,,,,,
Pressure,  Temp,   volume (m^3/kg),,    energy (kJ/kg),,          enthalpy (kJ/kg),,,    entropy (kJ/kg.K),,,
  MPa,  deg C,     vf,     vg,      uf,      ug,     hf,     hfg      ,    hg,      sf,   sfg,    sg, 
0.6,158.8,0.001101,0.3156,669.7,2566.8,670.4,2085.7,2756.1,1.9308,4.8284,6.7592,
0.6182,160,0.001102,0.3068,674.8,2567.8,675.47,2081.9,2757.4,1.9426,4.8065,6.7491,
0.7922,170,0.001114,0.2426,718.2,2575.7,719.08,2048.8,2767.9,2.0417,4.6233,6.6650,
0.8,170.4,0.001115,0.2403,720.0,2576.0,720.9,2047.4,2768.3,2.0457,4.6159,6.6616,
1,179.9,0.001127,0.1944,761.4,2582.7,762.5,2014.6,2777.1,2.1381,4.4469,6.5850,
1.0028,180,0.001127,0.1938,761.9,2582.8,763.05,2014.2,2777.2,2.1392,4.4448,6.5840,
1.2,188.0,0.001139,0.1633,797.0,2587.8,798.3,1985.4,2783.7,2.2159,4.3058,6.5217,
1.2552,190,0.001142,0.1564,806.0,2589.0,807.43,1977.9,2785.3,2.2355,4.2704,6.5059,
1.4,195.0,0.001149,0.1408,828.4,2591.8,830.0,1958.8,2788.8,2.2835,4.1840,6.4675,
1.5549,200,0.001157,0.1272,850.5,2594.2,852.27,1939.7,2792.0,2.3305,4.0997,6.4302,
1.6,201.4,0.001159,0.1237,856.6,2594.8,858.5,1934.3,2792.8,2.3435,4.0764,6.4199,
1.8,207.1,0.001168,0.1104,882.4,2597.2,884.5,1911.4,2795.9,2.3975,3.9800,6.3775,
1.9077,210,0.001173,0.1043,895.4,2598.3,897.63,1899.7,2797.3,2.4245,3.9318,6.3563,
2,212.4,0.001177,0.09959,906.1,2599.1,908.5,1889.8,2798.3,2.4468,3.8922,6.3390,
2.3196,220,0.001190,0.08609,940.8,2601.2,943.58,1857.3,2800.9,2.5177,3.7663,6.2840,
2.7971,230,0.001209,0.07150,986.8,2602.9,990.19,1812.7,2802.9,2.6101,3.6027,6.2128,
3,233.9,0.001217,0.06666,1004.7,2603.2,1008.3,1794.9,2803.2,2.6455,3.5401,6.1856,
3.3469,240,0.001230,0.05971,1033.4,2603.1,1037.60,1765.4,2803.0,2.7020,3.4403,6.1423,
3.9762,250,0.001252,0.05008,1080.8,2601.8,1085.80,1715.1,2800.9,2.7935,3.2786,6.0721,
4,250.4,0.001253,0.04978,1082.5,2601.7,1087.5,1713.3,2800.8,2.7968,3.2728,6.0696,
4.6923,260,0.001276,0.04217,1129.0,2598.7,1135.00,1661.6,2796.6,2.8849,3.1167,6.0016,
5.5030,270,0.001303,0.03562,1178.1,2593.7,1185.30,1604.4,2789.7,2.9765,2.9539,5.9304,
6,275.6,0.001319,0.03245,1206.0,2589.9,1213.9,1570.7,2784.6,3.0278,2.8623,5.8901,
6.4166,280,0.001333,0.03015,1228.3,2586.4,1236.90,1543.0,2779.9,3.0685,2.7894,5.8579,
7.4418,290,0.001366,0.02556,1279.9,2576.5,1290.00,1476.7,2766.7,3.1612,2.6222,5.7834,
8,295.0,0.001385,0.02353,1306.2,2570.5,1317.3,1441.4,2758.7,3.2081,2.5369,5.7450,
8.5879,300,0.001404,0.02166,1332.9,2563.6,1345.00,1404.6,2749.6,3.2552,2.4507,5.7059,
9.8651,310,0.001448,0.01834,1387.9,2547.1,1402.20,1325.7,2727.9,3.3510,2.2734,5.6244,
10,311.0,0.001453,0.01803,1393.5,2545.2,1408.1,1317.4,2725.5,3.3606,2.2554,5.6160,
11.284,320,0.001499,0.01547,1445.3,2526.0,1462.20,1238.4,2700.6,3.4494,2.0878,5.5372,
12,324.7,0.001526,0.01426,1473.1,2514.3,1491.5,1193.9,2685.4,3.4967,1.9972,5.4939,
12.858,330,0.001561,0.01298,1505.8,2499.2,1525.90,1140.1,2666.0,3.5518,1.8904,5.4422,
14,336.7,0.001610,0.01149,1548.4,2477.1,1571.0,1066.9,2637.9,3.6232,1.7495,5.3727,
14.601,340,0.001638,0.01078,1570.6,2464.4,1594.50,1027.3,2621.8,3.6601,1.6755,5.3356,
16,347.4,0.001709,0.009309,1622.3,2431.8,1649.7,931.1,2580.8,3.7457,1.5006,5.2463,
16.529,350,0.001740,0.008802,1642.1,2418.1,1670.90,892.7,2563.6,3.7784,1.4326,5.2110,
18,357.0,0.001840,0.007502,1699.0,2374.8,1732.1,777.7,2509.8,3.8718,1.2343,5.1061,
18.666,360,0.001895,0.006949,1726.3,2351.8,1761.70,719.8,2481.5,3.9167,1.1369,5.0536,
20,365.8,0.002040,0.005865,1786.4,2295.0,1827.2,585.1,2412.3,4.0156,0.9158,4.9314,
21.044,370,0.002215,0.004954,1844.1,2230.3,1890.70,443.8,2334.5,4.1112,0.6900,4.8012,
22.064,373.95,0.003106,0.003106,2015.7,2015.7,2084.3,0.0,2084.3,4.4070,0.0,4.4070,
22.064,373.95,0.003106,0.003106,2015.7,2015.7,2084.30,0.0,2084.3,4.4070,0.0,4.4070,
